Eb/N0 [dB],P_ep,P_eb,Gc,Ga
1.0,0.009585,0.0022319,5.066394094239044,1.5490195998574319
1.24,0.00815,0.0019024,4.9793935193066075,1.5490195998574319
1.48,0.006811,0.0015784,4.912150655161446,1.5490195998574319
1.72,0.005674,0.0013073,4.8403179044967635,1.5490195998574319
1.96,0.004851,0.0011076,4.7434258937787375,1.5490195998574319
2.2,0.004045,0.000921,4.657721101303938,1.5490195998574319
2.44,0.003218,0.0007251,4.610439697353559,1.5490195998574319
2.6799999999999997,0.002599,0.0005862,4.535361979067937,1.5490195998574319
2.92,0.002007,0.0004482,4.495529650283423,1.5490195998574319
3.16,0.001489,0.0003319,4.469771918637976,1.5490195998574319
3.4,0.001138,0.0002552,4.409391483035261,1.5490195998574319
3.6399999999999997,0.000911,0.0001987,4.334191570001458,1.5490195998574319
3.88,0.000641,0.0001411,4.310498791895106,1.5490195998574319
4.12,0.000452,0.0001012,4.271218766579783,1.5490195998574319
4.359999999999999,0.000319,6.94e-05,4.248876393140726,1.5490195998574319
4.6,0.000222,4.99e-05,4.191097918773252,1.5490195998574319
4.84,0.000177,3.77e-05,4.100465537574895,1.5490195998574319
5.08,9.4e-05,2.05e-05,4.1691281799352495,1.5490195998574319
5.32,7e-05,1.62e-05,4.043015873731491,1.5490195998574319
5.56,3.7e-05,7.9e-06,4.133802356216893,1.5490195998574319
5.8,2.5e-05,5.2e-06,4.075882095184981,1.5490195998574319
6.04,1.4e-05,2.9e-06,4.0784719263710505,1.5490195998574319
6.279999999999999,4e-06,1.1e-06,4.214498041484193,1.5490195998574319
6.52,6e-06,1.4e-06,3.8838376051159855,1.5490195998574319
6.76,1e-06,2e-07,4.328073470349855,1.5490195998574319
7.0,2e-06,4e-07,3.856089883669693,1.5490195998574319
